date,open,high,low,close,volume
2018-12-23,223.41,221.36,224.21,220.47,328030
2018-12-20,221.36,222.52,222.7,220.83,247120
2018-12-19,221.01,223.41,223.5,220.56,709640
2018-12-18,223.23,223.68,226.17,222.7,356290
2018-12-17,223.14,222.34,224.12,220.74,458170
2018-12-13,220.65,220.92,223.41,219.94,1070000
2018-12-12,220.92,224.3,224.65,220.29,614820
2018-12-11,224.03,225.63,226.97,223.59,330130
2018-12-10,226.43,226.35,226.97,222.52,878550
2018-12-09,226.26,225.72,226.97,225.72,205770
2018-12-06,225.72,228.93,229.1,224.48,343640
2018-12-05,229.1,231.42,231.95,228.39,417500
2018-12-04,231.33,231.42,232.04,230.26,789220
2018-12-03,231.42,232.31,233.56,230.98,454340
2018-12-02,232.67,234.54,234.54,231.42,225870
2018-11-29,234.54,230.53,235.43,230.08,873130
2018-11-28,229.73,229.64,231.33,226.08,807410
2018-11-26,228.34,229.17,230.01,226.84,665980
2018-11-25,229.01,232.09,233.42,228.26,358400
2018-11-22,231.42,229.59,233.33,228.76,1050000
2018-11-20,228.26,224.51,228.76,223.52,730750
2018-11-19,222.6,221.02,223.77,220.94,532920
2018-11-18,220.94,220.36,223.77,218.94,285510
2018-11-15,218.86,219.61,220.44,218.44,296270
2018-11-14,218.86,220.77,221.69,218.44,278150
2018-11-13,220.69,220.44,222.77,218.69,361080
2018-11-12,218.53,225.1,225.1,217.61,687750
2018-11-11,222.27,220.52,225.93,219.86,164990
2018-11-08,220.11,220.44,221.27,219.61,135730
2018-11-07,220.27,219.44,220.85,219.44,95870
2018-11-06,219.44,219.94,220.36,219.19,381070
2018-11-05,219.86,219.61,221.19,219.02,351520
2018-11-04,219.61,219.52,220.44,219.02,85930
2018-11-01,230.5,233.47,233.47,230.15,140720
2018-10-31,233.38,234.08,234.52,232.33,830360
2018-10-30,233.3,233.47,234.17,231.9,199070
2018-10-29,232.16,228.4,232.86,228.4,371390
2018-10-28,228.23,231.37,231.37,227.88,143570
2018-10-25,229.54,231.02,232.33,228.84,267820
2018-10-24,230.33,230.33,232.07,228.58,257410
2018-10-23,228.93,230.59,231.46,228.49,392600
2018-10-22,229.71,235.57,235.57,228.84,854670
2018-10-21,234.61,234.69,238.45,233.82,184250
2018-10-18,232.07,233.56,234.78,231.37,284090
2018-10-17,233.47,235.39,235.39,232.86,307100
2018-10-16,234.78,234.78,236.61,234.17,508500
2018-10-15,234.17,238.01,240.2,233.91,341430
2018-10-14,237.84,238.1,238.45,236.35,143060
2018-10-11,237.92,242.73,242.73,236.88,287110
2018-10-10,242.55,246.48,246.48,241.85,259860
2018-10-09,244.65,236.96,248.58,236.96,900460
2018-10-08,236.96,235.92,237.4,234.17,186340
2018-10-07,234.87,236.7,236.7,234.43,193240
2018-10-04,237.05,236.61,238.97,234.52,379510
2018-10-03,236.61,237.58,238.45,236.35,123640
2018-10-02,238.01,240.2,240.2,237.58,122940
2018-10-01,238.54,238.01,240.02,236.53,216220
