datetime,open,high,low,close,volume,openinterest
2016-04-21 00:00:00,740.06,746.52,747.18,738.21,5620,0
2016-04-20 00:00:00,745.92,745.5,747.18,744.49,5440,0
2016-04-19 00:00:00,745.44,745.38,746.52,740.6,8850,0
2016-04-18 00:00:00,741.14,741.2,744.19,740.6,2500,0
2016-04-17 00:00:00,739.59,739.71,744.07,739.41,5680,0
2016-04-13 00:00:00,738.99,738.81,741.2,738.21,13300,0
2016-04-12 00:00:00,737.49,748.73,748.73,736.6,7370,0
2016-04-11 00:00:00,748.19,753.15,755.55,747.18,11610,0
2016-04-10 00:00:00,751,747.18,754.95,746.58,7430,0
2016-04-07 00:00:00,744.19,740.3,756.08,740,4160,0
2016-04-06 00:00:00,739.82,737.67,742.4,737.67,8450,0
2016-04-05 00:00:00,740.78,738.21,741.2,735.22,3520,0
2016-04-04 00:00:00,736.54,742.99,743.47,735.82,5230,0
2016-04-03 00:00:00,736.48,737.02,738.21,734.92,7700,0
2016-03-31 00:00:00,736.06,737.02,738.15,734.74,8930,0
2016-03-30 00:00:00,735.76,738.81,741.2,735.52,15170,0
2016-03-29 00:00:00,736.72,741.02,741.02,735.82,1420,0
2016-03-28 00:00:00,740.36,735.22,742.4,735.22,4900,0
2016-03-27 00:00:00,734.74,734.8,736.42,733.43,11090,0
2016-03-24 00:00:00,738.51,734.09,741.2,731.04,9840,0
2016-03-23 00:00:00,733.49,739.59,740.6,732.23,23320,0
2016-03-22 00:00:00,739.11,740,742.4,732.83,5950,0
2016-03-21 00:00:00,738.93,743.59,744.91,738.21,6250,0
2016-03-20 00:00:00,741.98,743.59,744.13,739.41,7230,0
2016-03-16 00:00:00,739.47,741.26,741.26,738.39,6570,0
2016-03-15 00:00:00,740,738.93,742.28,738.93,6930,0
2016-03-14 00:00:00,738.51,739.41,742.4,738.21,22930,0
2016-03-13 00:00:00,739.65,741.2,747.18,738.21,4040,0
2016-03-10 00:00:00,735.52,736.42,739.41,734.62,13190,0
2016-03-09 00:00:00,734.86,741.2,741.2,734.03,6350,0
2016-03-08 00:00:00,739.05,744.31,745.5,738.81,11860,0
2016-03-07 00:00:00,747.48,747.48,747.77,746.04,12050,0
2016-03-06 00:00:00,748.01,746.04,750.76,746.04,3350,0
2016-03-03 00:00:00,750.35,745.38,753.75,745.38,3750,0
2016-03-02 00:00:00,744.85,750.23,750.76,744.19,13020,0
2016-03-01 00:00:00,749.63,751.42,756.02,747.48,18110,0
2016-02-29 00:00:00,750.76,753.15,753.15,747.18,12000,0
2016-02-28 00:00:00,746.52,753.15,753.15,744.31,12450,0
2016-02-25 00:00:00,749.51,750.76,754.35,747.18,9980,0
2016-02-24 00:00:00,751.06,750.82,756.08,746.58,7620,0
2016-02-23 00:00:00,752.56,750.17,758.83,750.17,8180,0
2016-02-22 00:00:00,750.35,750.29,753.15,750.17,11990,0
2016-02-18 00:00:00,751.36,758.53,758.53,750.76,11770,0
2016-02-17 00:00:00,752.5,755.13,760.93,751.18,8650,0
2016-02-16 00:00:00,757.7,765.11,768.04,753.75,21870,0
2016-02-15 00:00:00,765.23,757.52,766.9,757.34,26050,0
2016-02-14 00:00:00,756.2,757.94,760.69,754.71,13390,0
2016-02-11 00:00:00,757.04,752.86,759.19,747.18,13770,0
2016-02-10 00:00:00,753.93,765.11,766.9,747.24,25780,0
2016-02-09 00:00:00,765.41,764.51,768.1,758.95,31910,0
2016-02-08 00:00:00,755.19,747.77,757.88,744.79,28930,0
2016-02-07 00:00:00,745.74,743.29,749.57,741.2,19360,0
2016-02-04 00:00:00,746.52,747,748.37,741.32,6640,0
2016-02-03 00:00:00,745.32,747.18,747.18,739.41,7820,0
2016-02-02 00:00:00,739.94,735.22,742.4,735.22,8410,0
2016-02-01 00:00:00,732.47,731.1,741.2,730.62,4910,0
2016-01-31 00:00:00,732.95,735.22,736.3,732.35,9510,0
2016-01-28 00:00:00,732.95,735.28,738.81,732.29,4940,0
2016-01-27 00:00:00,737.43,738.03,738.21,736.42,3830,0
2016-01-26 00:00:00,735.22,744.19,744.19,732.23,10210,0
2016-01-25 00:00:00,732.41,738.87,738.87,732.23,11170,0
2016-01-24 00:00:00,735.82,732.83,738.81,732.83,11970,0
2016-01-21 00:00:00,735.22,736.42,737.02,734.8,12480,0
2016-01-20 00:00:00,734.33,739.41,739.41,732.83,20430,0
2016-01-19 00:00:00,736.78,735.64,738.69,735.22,21460,0
2016-01-18 00:00:00,736.12,738.27,741.14,735.22,20320,0
2016-01-17 00:00:00,738.27,741.2,742.4,735.82,40310,0
2016-01-14 00:00:00,739.17,750.17,750.17,736,20240,0
2016-01-13 00:00:00,744.79,742.45,747.18,742.4,9610,0
2016-01-12 00:00:00,744.73,746.46,750.05,742.75,4720,0
2016-01-11 00:00:00,744.61,747.18,747.77,742.4,11680,0
2016-01-10 00:00:00,741.86,747.18,749.57,741.2,14520,0
2016-01-07 00:00:00,744.25,743.59,746.46,737.49,4090,0
2016-01-06 00:00:00,743.11,739.41,744.19,739.41,4460,0
2016-01-05 00:00:00,738.15,741.8,741.8,726.26,11590,0
2016-01-04 00:00:00,737.08,743.59,745.86,732.29,30970,0
2016-01-03 00:00:00,744.25,741.62,745.38,741.2,27100,0
2015-12-31 00:00:00,741.38,740,742.99,739.41,4010,0
2015-12-30 00:00:00,739.77,742.99,744.79,738.87,10280,0
2015-12-29 00:00:00,742.87,743.05,744.19,738.81,12080,0
